transaction_id,ingredient_id,quantity,transaction_type,date,reference
172,24,18.0,Purchase,2023-08-29,2024-03-08
173,30,72.0,Adjustment,2023-04-18,2023-01-14
174,33,12.0,Purchase,2024-07-02,2023-04-06
175,48,18.0,Purchase,2024-02-12,2024-01-10
176,35,20.0,Adjustment,2023-04-14,2024-09-04
177,61,5.0,Purchase,2023-07-20,2024-07-04
178,16,8.0,Consumption,2023-12-01,2024-06-13
179,3,50.0,Adjustment,2023-03-31,2023-09-03
180,21,16.0,Consumption,2023-02-24,2024-01-30
181,25,6.0,Consumption,2023-07-16,2023-09-07
182,25,3.0,Purchase,2023-07-13,2023-04-21
183,59,17.0,Purchase,2023-05-31,2024-03-02
184,57,19.0,Purchase,2024-02-11,2024-05-15
185,35,14.0,Purchase,2024-08-13,2024-06-05
186,58,11.0,Purchase,2024-08-27,2023-12-31
187,46,3.0,Consumption,2023-12-11,2023-03-08
188,12,49.0,Adjustment,2023-10-05,2023-03-24
189,48,19.0,Purchase,2023-05-21,2023-07-23
190,54,12.0,Purchase,2023-10-04,2023-03-20
191,4,19.0,Consumption,2024-01-19,2024-01-11
192,54,50.0,Adjustment,2024-02-14,2024-07-07
193,12,13.0,Consumption,2024-01-08,2023-09-14
194,27,28.0,Adjustment,2024-01-14,2024-05-31
195,57,2.0,Purchase,2023-09-01,2024-05-28
196,48,19.0,Consumption,2024-08-03,2023-01-20
197,27,1.0,Purchase,2023-08-11,2024-02-13
198,28,91.0,Adjustment,2024-10-24,2023-06-09
199,7,1.0,Purchase,2023-09-13,2024-10-09
200,20,14.0,Purchase,2024-05-05,2023-11-09
201,51,65.0,Adjustment,2023-09-02,2023-12-14
202,42,11.0,Consumption,2023-03-30,2023-02-14
203,24,43.0,Adjustment,2024-09-15,2024-03-08
204,39,66.0,Adjustment,2024-04-06,2023-11-03
205,29,5.0,Purchase,2024-06-08,2023-06-18
206,39,16.0,Purchase,2024-09-09,2024-06-25
207,37,66.0,Adjustment,2024-10-16,2023-04-26
208,39,88.0,Adjustment,2023-05-30,2023-01-03
209,48,58.0,Adjustment,2023-08-30,2024-10-01
210,3,18.0,Purchase,2023-01-31,2023-09-05
211,17,50.0,Adjustment,2024-06-24,2024-06-23
212,7,15.0,Consumption,2023-11-07,2024-08-07
213,2,3.0,Consumption,2023-06-24,2023-01-13
214,30,41.0,Adjustment,2023-11-10,2023-12-22
215,22,35.0,Adjustment,2023-11-15,2024-05-17
216,34,18.0,Purchase,2024-09-09,2023-07-17
217,60,19.0,Purchase,2024-04-02,2023-05-28
218,1,11.0,Adjustment,2023-02-03,2023-12-10
219,52,30.0,Adjustment,2024-04-02,2023-08-21
220,44,39.0,Adjustment,2023-05-23,2023-12-07
221,60,14.0,Adjustment,2023-02-27,2023-01-16
222,48,78.0,Adjustment,2023-06-18,2023-01-03
223,46,10.0,Purchase,2024-09-08,2023-01-15
224,40,12.0,Adjustment,2023-07-02,2023-08-25
225,49,18.0,Purchase,2023-04-11,2024-02-13
226,9,2.0,Purchase,2024-09-18,2024-07-19
227,26,4.0,Purchase,2023-07-19,2023-05-08
228,33,19.0,Consumption,2023-10-08,2023-03-12
229,56,80.0,Adjustment,2023-10-22,2024-06-04
230,12,11.0,Purchase,2024-01-06,2023-02-26
231,39,90.0,Adjustment,2023-03-02,2023-04-20
232,48,13.0,Consumption,2023-04-28,2024-08-19
233,39,11.0,Purchase,2024-09-15,2023-03-13
234,59,6.0,Consumption,2024-07-06,2023-06-13
235,28,16.0,Purchase,2023-08-29,2024-10-28
236,47,17.0,Consumption,2024-01-17,2024-05-18
237,55,10.0,Purchase,2023-02-03,2023-07-18
238,18,11.0,Purchase,2024-02-02,2024-09-07
239,30,16.0,Purchase,2024-02-06,2023-06-03
240,44,5.0,Purchase,2024-09-21,2024-05-06
241,1,41.0,Adjustment,2024-01-28,2024-10-28
242,40,8.0,Consumption,2024-04-18,2024-06-08
243,56,97.0,Adjustment,2023-05-24,2023-06-30
244,50,3.0,Purchase,2024-05-13,2024-03-14
245,51,13.0,Consumption,2023-11-02,2023-12-25
246,57,18.0,Purchase,2024-05-20,2023-03-10
247,54,32.0,Adjustment,2023-02-26,2023-11-18
248,56,10.0,Purchase,2024-10-29,2023-01-20
249,23,18.0,Purchase,2024-07-31,2023-03-21
250,30,14.0,Purchase,2023-07-02,2023-04-19
251,50,11.0,Consumption,2023-02-27,2024-08-07
252,16,47.0,Adjustment,2024-05-12,2024-02-18
253,20,18.0,Consumption,2023-12-19,2024-01-27
254,35,10.0,Consumption,2023-02-09,2024-07-26
255,5,20.0,Consumption,2024-04-10,2023-04-25
256,47,3.0,Consumption,2024-01-05,2024-10-21
257,1,13.0,Purchase,2023-03-12,2023-07-17
258,60,15.0,Consumption,2023-09-11,2023-05-07
259,44,20.0,Consumption,2024-04-13,2023-10-16
260,7,18.0,Purchase,2023-12-22,2024-03-24
261,35,13.0,Consumption,2024-07-09,2024-09-22
262,36,19.0,Purchase,2024-02-03,2024-04-12
263,55,13.0,Consumption,2024-07-10,2024-09-21
264,58,1.0,Consumption,2023-02-26,2024-08-14
265,3,19.0,Adjustment,2023-01-27,2023-08-13
266,8,11.0,Purchase,2024-06-05,2023-02-06
267,36,18.0,Adjustment,2024-08-21,2023-07-19
268,54,39.0,Adjustment,2024-07-10,2023-10-13
269,11,16.0,Consumption,2023-04-02,2023-06-01
270,59,20.0,Purchase,2024-02-06,2024-10-14
271,17,9.0,Purchase,2023-10-05,2023-05-18
272,56,5.0,Purchase,2024-01-31,2023-03-03
273,9,16.0,Purchase,2023-04-03,2023-03-07
274,9,7.0,Consumption,2024-04-29,2023-11-21
275,28,19.0,Purchase,2023-10-21,2023-11-04
276,21,7.0,Consumption,2023-08-03,2024-03-26
277,20,21.0,Adjustment,2023-07-02,2024-09-22
278,49,47.0,Adjustment,2023-06-27,2024-07-26
279,11,20.0,Consumption,2024-01-28,2024-04-20
280,46,10.0,Consumption,2023-04-30,2024-09-15
281,54,3.0,Purchase,2024-01-07,2023-03-19
282,16,48.0,Adjustment,2023-04-05,2023-12-08
283,36,20.0,Purchase,2023-06-03,2023-03-27
284,14,1.0,Purchase,2023-03-07,2024-06-25
285,30,3.0,Purchase,2023-08-25,2024-08-28
286,37,11.0,Adjustment,2023-06-07,2023-06-06
287,61,3.0,Purchase,2023-09-16,2023-10-10
288,32,37.0,Adjustment,2023-08-22,2024-01-14
289,51,79.0,Adjustment,2023-02-23,2023-06-13
290,47,71.0,Adjustment,2023-05-06,2024-02-04
291,47,1.0,Consumption,2023-12-29,2023-03-08
292,11,91.0,Adjustment,2023-09-05,2024-09-17
293,16,1.0,Purchase,2023-06-29,2023-03-02
294,37,35.0,Adjustment,2023-03-27,2023-11-24
295,14,3.0,Purchase,2024-09-28,2024-09-15
296,25,36.0,Adjustment,2024-10-08,2023-03-22
297,15,5.0,Purchase,2023-11-14,2023-11-04
298,48,9.0,Purchase,2024-03-19,2023-04-12
299,28,15.0,Purchase,2023-01-23,2023-09-26
300,47,33.0,Adjustment,2023-06-01,2023-10-28
301,17,16.0,Consumption,2023-02-03,2023-04-10
302,59,7.0,Purchase,2023-09-19,2024-03-02
303,46,17.0,Purchase,2023-10-08,2024-04-30
304,6,1.0,Consumption,2024-05-14,2023-09-17
305,18,15.0,Purchase,2024-03-12,2024-08-20
306,11,67.0,Adjustment,2023-06-19,2023-06-26
307,37,9.0,Consumption,2023-06-02,2024-02-26
308,55,7.0,Purchase,2024-10-15,2024-08-07
309,61,16.0,Consumption,2023-06-18,2024-02-11
310,7,10.0,Purchase,2023-07-22,2023-07-18
311,49,14.0,Consumption,2023-05-05,2024-05-18
312,7,46.0,Adjustment,2024-06-18,2023-09-26
313,17,1.0,Consumption,2024-10-04,2023-03-15
314,23,26.0,Adjustment,2023-12-06,2024-05-28
315,3,90.0,Adjustment,2024-01-18,2024-03-22
316,4,89.0,Adjustment,2024-02-08,2024-06-02
317,12,65.0,Adjustment,2024-08-23,2024-06-07
318,36,3.0,Purchase,2023-10-11,2024-02-23
319,4,2.0,Consumption,2023-07-12,2023-07-21
320,23,10.0,Purchase,2024-09-11,2023-05-28
321,23,37.0,Adjustment,2023-09-03,2023-12-24
322,27,8.0,Purchase,2023-04-08,2023-11-02
323,24,56.0,Adjustment,2023-08-23,2023-03-24
324,17,11.0,Consumption,2024-09-27,2024-10-15
325,14,74.0,Adjustment,2023-12-15,2023-05-04
326,54,2.0,Purchase,2023-04-05,2023-02-26
327,42,55.0,Adjustment,2023-03-20,2024-10-25
328,9,5.0,Consumption,2023-11-29,2024-04-13
329,37,15.0,Consumption,2023-11-04,2023-12-17
330,33,31.0,Adjustment,2023-08-22,2024-04-05
331,53,63.0,Adjustment,2024-05-07,2024-07-05
332,16,7.0,Purchase,2023-12-08,2023-01-21
333,27,12.0,Purchase,2024-06-20,2023-07-12
334,40,72.0,Adjustment,2023-05-07,2024-01-15
335,50,29.0,Adjustment,2024-02-11,2023-09-03
336,23,13.0,Consumption,2023-01-05,2024-04-11
337,8,14.0,Purchase,2024-05-31,2023-05-03
338,35,11.0,Purchase,2023-08-03,2024-10-02
339,37,24.0,Adjustment,2024-09-25,2024-07-02
340,8,93.0,Adjustment,2024-01-17,2024-10-28
341,39,80.0,Adjustment,2023-05-17,2024-03-08
342,34,18.0,Consumption,2023-10-24,2024-03-04
343,56,11.0,Consumption,2024-05-17,2024-04-22
344,20,17.0,Purchase,2023-06-19,2023-11-13
345,18,53.0,Adjustment,2024-04-24,2024-08-07
346,60,18.0,Purchase,2024-09-30,2024-05-25
347,34,20.0,Purchase,2023-01-25,2023-10-10
348,36,3.0,Consumption,2023-04-27,2023-10-17
349,21,6.0,Consumption,2024-08-25,2024-09-30
350,59,64.0,Adjustment,2023-05-06,2023-04-26
351,54,90.0,Adjustment,2023-10-15,2023-04-24
352,52,20.0,Consumption,2023-04-08,2024-10-10
353,49,5.0,Consumption,2023-03-26,2024-04-17
354,7,98.0,Adjustment,2023-05-22,2024-10-01
355,50,10.0,Consumption,2023-07-22,2024-03-29
356,33,55.0,Adjustment,2024-05-01,2024-01-14
357,16,13.0,Consumption,2024-10-08,2023-04-02
358,7,12.0,Consumption,2023-01-29,2023-10-14
359,36,9.0,Consumption,2024-09-06,2024-07-28
360,16,16.0,Consumption,2024-06-26,2024-08-01
361,54,10.0,Adjustment,2024-03-07,2024-05-07
362,47,40.0,Adjustment,2023-06-25,2024-02-20
363,36,6.0,Consumption,2023-12-18,2024-07-24
364,42,2.0,Purchase,2024-04-29,2023-12-29
365,44,11.0,Purchase,2024-06-15,2023-10-23
366,21,2.0,Purchase,2024-04-30,2023-09-02
367,1,9.0,Consumption,2023-12-05,2023-10-03
368,57,10.0,Consumption,2024-05-08,2024-07-20
369,23,32.0,Adjustment,2023-05-14,2024-06-03
370,52,1.0,Consumption,2023-09-23,2024-01-03
371,50,93.0,Adjustment,2024-01-22,2023-05-31
372,42,71.0,Adjustment,2023-01-12,2023-10-14
373,7,20.0,Adjustment,2024-08-13,2024-01-30
374,37,6.0,Purchase,2024-01-22,2023-11-12
375,39,3.0,Purchase,2023-03-27,2023-05-29
376,23,13.0,Purchase,2024-05-07,2024-08-05
377,32,6.0,Consumption,2023-12-09,2024-10-19
378,49,19.0,Purchase,2023-10-23,2023-12-25
379,6,1.0,Consumption,2023-01-22,2023-12-08
380,25,10.0,Consumption,2024-03-31,2024-01-18
381,32,2.0,Purchase,2024-08-27,2024-04-25
382,61,3.0,Purchase,2024-01-06,2024-01-26
383,57,18.0,Consumption,2024-05-24,2023-09-02
384,16,12.0,Purchase,2023-06-30,2023-07-05
385,42,14.0,Consumption,2023-08-10,2023-05-30
386,35,7.0,Purchase,2023-03-25,2023-07-23
387,2,6.0,Consumption,2024-09-27,2024-01-21
388,4,47.0,Adjustment,2024-03-06,2023-09-14
389,58,13.0,Consumption,2024-07-25,2024-07-24
390,6,59.0,Adjustment,2023-03-07,2024-09-25
391,48,18.0,Consumption,2024-05-13,2023-10-03
392,47,6.0,Consumption,2023-11-11,2024-05-21
393,51,31.0,Adjustment,2024-03-09,2023-07-05
394,16,13.0,Consumption,2024-09-10,2024-10-19
395,40,3.0,Consumption,2024-04-23,2023-09-18
396,15,2.0,Purchase,2024-08-04,2023-01-27
397,11,77.0,Adjustment,2024-07-01,2024-07-27
398,54,17.0,Purchase,2023-06-03,2024-05-11
399,30,98.0,Adjustment,2024-09-23,2024-01-02
400,17,14.0,Purchase,2024-02-06,2024-07-30
401,47,3.0,Purchase,2024-02-07,2024-07-09
402,28,11.0,Adjustment,2023-12-23,2023-09-06
403,28,15.0,Consumption,2024-04-26,2024-06-15
404,38,50.0,Adjustment,2024-06-03,2023-11-16
405,59,47.0,Adjustment,2023-04-07,2024-10-02
406,36,12.0,Consumption,2024-10-12,2023-07-16
407,5,15.0,Consumption,2024-07-24,2023-07-06
408,34,5.0,Consumption,2024-03-19,2023-10-14
409,20,98.0,Adjustment,2023-03-25,2023-11-29
410,2,75.0,Adjustment,2023-04-04,2024-01-01
411,50,15.0,Purchase,2023-05-28,2023-10-06
412,48,13.0,Consumption,2023-08-26,2024-07-04
413,44,4.0,Consumption,2024-07-25,2024-06-19
414,35,19.0,Consumption,2024-06-03,2023-03-30
415,4,15.0,Purchase,2024-10-11,2024-03-08
416,4,12.0,Purchase,2023-05-01,2023-02-01
417,53,4.0,Purchase,2023-10-19,2024-05-15
418,44,5.0,Consumption,2023-10-04,2024-05-03
419,33,5.0,Purchase,2023-04-16,2023-01-12
420,49,1.0,Purchase,2024-03-11,2023-03-10
421,9,53.0,Adjustment,2023-03-26,2023-04-14
422,1,97.0,Adjustment,2023-09-20,2023-03-31
423,54,4.0,Consumption,2023-06-24,2023-06-15
424,28,76.0,Adjustment,2023-04-30,2023-10-05
425,44,3.0,Consumption,2024-07-24,2024-07-09
426,39,16.0,Purchase,2024-04-17,2023-09-02
427,57,19.0,Purchase,2023-03-21,2023-08-23
428,50,88.0,Adjustment,2024-03-12,2023-01-31
429,7,10.0,Purchase,2023-12-17,2024-06-13
430,54,1.0,Purchase,2023-11-23,2023-07-13
431,30,1.0,Purchase,2024-07-29,2024-02-04
432,51,19.0,Consumption,2023-11-21,2023-11-28
433,21,26.0,Adjustment,2024-03-16,2023-08-24
434,48,2.0,Purchase,2024-08-06,2023-08-30
435,32,14.0,Consumption,2023-09-20,2023-09-15
436,58,1.0,Consumption,2023-04-17,2023-08-04
437,7,74.0,Adjustment,2023-06-16,2024-06-03
438,12,59.0,Adjustment,2024-10-09,2024-08-23
439,34,77.0,Adjustment,2024-05-19,2024-06-23
440,35,17.0,Purchase,2023-06-14,2023-06-15
441,2,11.0,Adjustment,2023-01-12,2024-04-25
442,38,17.0,Consumption,2024-03-11,2023-01-10
443,47,14.0,Consumption,2024-03-16,2023-08-23
444,52,2.0,Purchase,2024-07-22,2023-10-14
445,35,10.0,Consumption,2023-01-14,2024-09-28
446,20,15.0,Consumption,2023-03-03,2024-06-13
447,1,12.0,Adjustment,2023-08-21,2023-05-17
448,34,13.0,Consumption,2023-08-12,2023-06-25
449,18,18.0,Purchase,2023-02-03,2024-01-24
450,16,13.0,Consumption,2024-05-04,2024-10-31
451,30,1.0,Purchase,2023-05-16,2024-07-06
452,16,10.0,Purchase,2023-05-18,2023-05-28
453,32,18.0,Purchase,2024-02-26,2023-12-14
454,21,5.0,Purchase,2023-09-28,2023-10-29
455,25,8.0,Purchase,2024-06-13,2024-07-11
456,20,2.0,Consumption,2024-01-23,2024-04-24
457,46,81.0,Adjustment,2023-11-27,2024-07-23
458,21,13.0,Purchase,2024-02-14,2023-01-18
459,38,11.0,Purchase,2023-10-14,2024-08-03
460,37,17.0,Consumption,2023-05-23,2023-08-09
461,51,47.0,Adjustment,2023-12-13,2024-08-12
462,37,18.0,Purchase,2024-02-19,2024-03-18
463,46,46.0,Adjustment,2023-05-20,2024-05-16
464,56,30.0,Adjustment,2023-02-01,2023-06-22
465,11,15.0,Consumption,2023-08-13,2023-09-04
466,5,2.0,Consumption,2023-07-18,2024-08-16
467,58,12.0,Purchase,2023-11-28,2024-08-04
468,27,71.0,Adjustment,2024-04-24,2023-04-04
469,8,7.0,Purchase,2024-07-19,2024-04-21
470,7,54.0,Adjustment,2024-07-20,2023-05-28
471,40,4.0,Purchase,2024-04-16,2023-11-06
472,22,73.0,Adjustment,2024-04-13,2024-03-25
473,9,12.0,Consumption,2024-05-11,2023-05-14
474,18,34.0,Adjustment,2024-05-20,2024-04-02
475,35,68.0,Adjustment,2023-01-06,2024-01-11
476,14,11.0,Consumption,2023-08-21,2023-10-15
477,6,25.0,Adjustment,2023-07-09,2023-06-03
478,29,13.0,Consumption,2024-01-13,2024-08-28
479,42,4.0,Purchase,2024-04-10,2024-02-05
480,5,90.0,Adjustment,2024-09-28,2023-01-13
481,58,80.0,Adjustment,2023-02-28,2024-05-27
482,48,17.0,Consumption,2023-02-05,2024-02-23
483,24,54.0,Adjustment,2023-04-29,2023-03-04
484,4,30.0,Adjustment,2023-06-24,2024-02-02
485,17,1.0,Consumption,2023-09-13,2023-07-29
486,60,17.0,Consumption,2023-05-17,2023-07-02
487,12,19.0,Consumption,2023-05-27,2024-05-14
488,40,13.0,Consumption,2024-04-12,2023-07-01
489,32,56.0,Adjustment,2024-03-05,2024-10-03
490,14,89.0,Adjustment,2024-05-14,2023-07-29
491,7,74.0,Adjustment,2024-07-26,2023-05-30
492,11,1.0,Consumption,2024-06-18,2024-07-30
493,59,14.0,Consumption,2023-04-02,2024-07-21
494,5,20.0,Purchase,2024-02-14,2024-04-29
495,12,5.0,Consumption,2023-06-21,2024-05-26
496,3,12.0,Consumption,2023-02-02,2024-05-26
497,34,4.0,Consumption,2023-09-11,2024-08-12
498,21,48.0,Adjustment,2023-10-11,2023-01-18
499,48,12.0,Consumption,2023-02-05,2023-05-17
500,14,17.0,Consumption,2024-03-02,2024-01-05
501,17,37.0,Adjustment,2023-04-14,2023-07-10
502,3,9.0,Purchase,2023-08-06,2024-06-10
503,44,5.0,Consumption,2024-03-16,2023-12-10
504,57,82.0,Adjustment,2023-04-11,2023-12-09
505,48,7.0,Purchase,2023-07-27,2023-10-20
506,55,6.0,Purchase,2023-08-02,2024-09-08
507,3,10.0,Purchase,2023-08-09,2023-10-30
508,35,8.0,Consumption,2023-10-26,2024-03-29
509,14,7.0,Consumption,2023-02-18,2024-06-26
510,1,98.0,Adjustment,2024-10-25,2023-02-17
