id,order_id,payment_date,method,amount
46,46,2024-02-02 07:46:24,Transfer,70.0
47,47,2024-08-06 15:50:48,Cash,280.0
48,48,2024-04-05 22:12:30,Transfer,85.0
49,49,2024-12-18 12:57:03,Transfer,20.0
50,50,2024-04-08 19:41:00,Cash,225.0
51,51,2024-03-16 18:20:16,Transfer,70.0
52,52,2023-12-25 23:26:59,Card,60.0
53,53,2024-06-01 16:57:25,Cash,375.0
54,54,2024-11-20 07:38:49,Transfer,70.0
55,55,2024-02-01 20:42:59,Transfer,210.0
56,56,2024-07-10 06:23:17,Cash,425.0
57,57,2024-03-19 06:55:43,Cash,35.0
58,58,2024-12-07 14:44:28,Cash,400.0
59,59,2024-05-01 05:56:53,Card,425.0
60,60,2024-09-09 04:35:40,Cash,70.0
61,61,2024-10-14 01:31:44,Transfer,210.0
62,62,2024-08-23 03:05:16,Card,170.0
63,63,2024-10-19 22:01:31,Card,240.0
64,64,2024-11-21 21:42:29,Transfer,280.0
65,65,2024-10-08 07:08:16,Cash,200.0
66,66,2024-11-13 09:26:22,Transfer,280.0
67,67,2024-08-06 04:44:48,Cash,255.0
68,68,2024-09-04 16:58:24,Transfer,70.0
69,69,2024-02-15 09:16:58,Cash,40.0
70,70,2024-05-13 21:21:05,Card,340.0
71,71,2024-12-22 11:02:17,Transfer,140.0
72,72,2024-01-23 19:26:19,Card,200.0
73,73,2024-09-06 12:51:52,Card,350.0
74,74,2024-01-06 03:42:44,Transfer,240.0
75,75,2024-03-27 05:39:42,Cash,400.0
76,76,2024-09-14 15:26:56,Cash,300.0
77,77,2024-07-10 05:51:37,Transfer,260.0
78,78,2024-02-29 00:14:00,Transfer,255.0
79,79,2024-11-14 21:34:24,Cash,80.0
80,80,2024-12-22 11:45:59,Card,85.0
81,81,2024-05-21 13:58:40,Cash,150.0
82,82,2024-10-13 15:46:37,Card,70.0
83,83,2024-05-20 10:44:30,Cash,40.0
84,84,2024-11-25 23:20:45,Cash,240.0
85,85,2024-07-08 04:30:52,Transfer,300.0
86,86,2024-10-16 02:22:08,Card,400.0
87,87,2024-11-11 15:23:09,Transfer,70.0
88,88,2024-04-15 03:33:17,Transfer,225.0
89,89,2024-11-26 22:00:12,Transfer,350.0
90,90,2024-11-15 02:36:54,Card,120.0
91,91,2024-01-08 09:10:06,Transfer,140.0
92,92,2024-08-20 03:18:51,Transfer,350.0
93,93,2024-11-05 05:49:14,Card,85.0
94,94,2024-02-11 02:35:51,Transfer,425.0
95,95,2024-08-01 16:25:18,Transfer,70.0
96,96,2024-11-27 17:03:27,Transfer,210.0
97,97,2024-09-17 09:10:58,Card,280.0
98,98,2024-11-20 23:24:43,Card,280.0
99,99,2024-01-28 22:09:39,Transfer,75.0
100,100,2024-05-21 02:09:02,Card,75.0
101,101,2024-06-08 06:13:36,Card,160.0
102,102,2024-09-25 20:21:21,Cash,160.0
103,103,2024-10-13 20:27:45,Transfer,350.0
104,104,2024-07-09 21:54:26,Card,150.0
105,105,2024-02-26 03:49:39,Cash,85.0
106,106,2024-05-21 08:11:21,Transfer,70.0
107,107,2024-02-08 22:24:18,Cash,350.0
108,108,2024-09-20 15:20:04,Cash,350.0
109,109,2024-10-30 13:40:13,Transfer,160.0
110,110,2024-02-03 07:35:44,Transfer,255.0
111,111,2024-09-20 23:33:38,Transfer,45.0
112,112,2024-09-09 02:23:01,Card,140.0
113,113,2024-01-25 02:15:38,Transfer,70.0
114,114,2024-02-16 13:10:24,Card,10.0
115,115,2024-03-09 00:02:58,Card,100.0
116,116,2024-02-09 13:58:27,Cash,140.0
117,117,2024-10-04 11:50:24,Transfer,10.0
118,118,2024-04-10 16:54:56,Cash,240.0
119,119,2024-11-19 13:38:26,Cash,105.0
120,120,2024-05-12 13:38:15,Card,150.0
121,121,2024-06-30 15:31:59,Card,70.0
122,122,2024-05-26 01:53:55,Cash,210.0
123,123,2024-05-09 10:33:27,Card,100.0
124,124,2024-01-12 08:07:25,Transfer,375.0
125,125,2024-08-14 16:58:18,Transfer,150.0
126,126,2024-12-05 01:55:26,Cash,70.0
127,127,2024-06-28 09:30:45,Transfer,160.0
128,128,2024-06-22 07:24:46,Cash,325.0
129,129,2024-10-30 18:13:46,Cash,140.0
130,130,2024-12-08 11:37:44,Transfer,300.0
131,131,2024-05-11 00:34:21,Cash,375.0
132,132,2024-04-08 19:42:32,Cash,340.0
133,133,2024-01-24 11:53:17,Cash,80.0
134,134,2023-12-24 18:57:34,Transfer,320.0
135,135,2024-09-03 01:07:04,Cash,175.0
136,136,2024-01-24 17:51:35,Transfer,75.0
137,137,2024-06-26 18:29:30,Cash,120.0
138,138,2024-03-17 16:32:54,Cash,100.0
139,139,2024-05-17 02:16:54,Card,90.0
140,140,2024-03-19 03:27:46,Transfer,500.0
141,141,2024-09-05 04:41:12,Transfer,35.0
142,142,2024-03-10 13:41:11,Cash,75.0
143,143,2024-02-10 15:31:25,Card,30.0
144,144,2024-07-16 02:38:30,Cash,100.0
145,145,2024-04-15 14:03:15,Transfer,75.0
146,146,2024-05-24 10:49:35,Transfer,280.0
147,147,2024-03-06 02:55:48,Cash,225.0
148,148,2024-07-19 01:23:55,Transfer,120.0
149,149,2024-10-22 16:59:02,Transfer,80.0
150,150,2024-02-16 22:21:20,Cash,500.0
151,151,2024-02-09 22:19:03,Card,260.0
152,152,2024-10-31 14:27:55,Cash,70.0
153,153,2024-10-09 15:36:11,Transfer,160.0
154,154,2023-12-24 06:15:54,Transfer,70.0
155,155,2024-02-10 22:58:43,Card,150.0
156,156,2024-10-02 21:52:41,Cash,10.0
157,157,2024-05-06 22:15:26,Card,300.0
158,158,2024-03-27 08:38:28,Card,210.0
159,159,2024-04-27 21:59:51,Transfer,140.0
160,160,2024-03-28 17:14:38,Card,80.0
161,161,2024-07-19 04:39:39,Card,200.0
162,162,2024-12-03 03:23:27,Transfer,70.0
163,163,2024-09-29 16:34:53,Cash,320.0
164,164,2024-12-09 12:10:50,Cash,80.0
165,165,2024-01-31 15:52:30,Card,120.0
166,166,2024-07-05 20:37:55,Card,40.0
167,167,2024-12-13 01:49:01,Cash,320.0
168,168,2024-07-29 15:27:31,Card,50.0
169,169,2024-10-18 11:04:56,Transfer,105.0
170,170,2024-03-29 16:12:54,Cash,50.0
171,171,2024-05-27 16:12:31,Cash,320.0
172,172,2024-02-05 10:04:41,Cash,70.0
173,173,2024-01-08 12:43:00,Cash,120.0
174,174,2024-01-04 06:23:38,Card,350.0
175,175,2024-06-18 07:22:42,Cash,175.0
176,176,2024-07-25 08:21:05,Transfer,40.0
177,177,2024-08-03 19:42:30,Cash,340.0
178,178,2024-07-09 23:19:23,Transfer,240.0
179,179,2024-07-18 15:24:59,Cash,175.0
180,180,2024-08-20 15:31:28,Cash,70.0
181,181,2024-03-21 10:12:34,Cash,120.0
182,182,2024-01-20 13:27:14,Card,140.0
183,183,2024-09-05 16:19:51,Cash,210.0
184,184,2024-05-01 07:18:20,Cash,140.0
185,185,2024-09-05 10:04:49,Card,195.0
186,186,2024-08-26 14:44:15,Transfer,160.0
187,187,2024-03-04 16:47:24,Transfer,300.0
188,188,2024-01-11 15:15:32,Card,350.0
189,189,2024-12-06 22:09:00,Card,175.0
190,190,2024-02-06 20:40:47,Transfer,280.0
191,191,2024-03-02 22:40:31,Transfer,225.0
192,192,2024-02-29 22:51:11,Card,320.0
193,193,2024-05-19 00:55:19,Transfer,10.0
194,194,2024-04-26 21:33:27,Transfer,425.0
195,195,2024-02-22 03:04:38,Card,375.0
196,196,2024-05-15 20:54:07,Transfer,90.0
197,197,2024-11-23 06:26:24,Transfer,135.0
198,198,2023-12-28 17:42:06,Transfer,70.0
199,199,2024-07-26 23:18:06,Cash,255.0
200,200,2024-07-06 03:46:33,Cash,80.0
201,201,2024-08-10 06:14:25,Card,320.0
202,202,2024-02-21 05:16:58,Card,210.0
203,203,2024-02-02 16:29:11,Card,120.0
204,204,2024-06-16 07:32:24,Card,10.0
205,205,2023-12-31 08:05:14,Transfer,200.0
206,206,2024-08-04 01:53:37,Card,300.0
207,207,2024-07-07 00:46:24,Transfer,10.0
208,208,2024-01-30 21:16:24,Cash,180.0
209,209,2024-01-30 23:10:13,Transfer,70.0
210,210,2024-05-06 00:33:18,Cash,100.0
211,211,2024-09-11 00:51:40,Card,40.0
212,212,2024-03-10 19:05:03,Transfer,140.0
213,213,2024-03-09 04:26:03,Cash,320.0
214,214,2024-01-07 00:40:48,Cash,175.0
215,215,2024-06-04 01:20:14,Card,40.0
216,216,2024-03-07 00:11:16,Transfer,400.0
217,217,2024-01-12 22:58:07,Transfer,70.0
218,218,2024-06-03 05:10:15,Transfer,70.0
219,219,2024-06-20 07:14:49,Card,320.0
220,220,2024-08-25 04:59:59,Cash,175.0
221,221,2024-10-23 17:04:33,Card,400.0
222,222,2024-03-07 10:09:21,Card,240.0
223,223,2024-06-15 14:54:47,Cash,85.0
224,224,2024-06-28 17:59:26,Transfer,170.0
225,225,2024-10-02 03:52:55,Cash,425.0
226,226,2024-07-21 06:27:39,Cash,300.0
227,227,2024-04-16 01:09:54,Card,280.0
228,228,2024-07-13 10:29:57,Transfer,140.0
229,229,2024-03-25 14:18:57,Cash,70.0
230,230,2024-04-08 13:45:49,Transfer,280.0
231,231,2024-07-04 03:37:18,Transfer,120.0
232,232,2024-10-10 07:09:18,Transfer,50.0
233,233,2024-07-21 08:37:23,Transfer,150.0
234,234,2024-06-21 13:45:05,Transfer,35.0
235,235,2024-11-15 13:04:02,Cash,255.0
236,236,2024-12-05 12:00:12,Transfer,210.0
237,237,2024-10-27 00:41:59,Transfer,210.0
238,238,2024-06-23 11:29:53,Card,210.0
239,239,2024-09-16 09:59:35,Transfer,90.0
240,240,2024-12-21 00:22:08,Card,350.0
241,241,2024-07-01 13:02:20,Transfer,180.0
242,242,2024-08-29 12:05:19,Transfer,100.0
243,243,2024-04-08 10:41:43,Card,80.0
244,244,2024-06-05 17:09:56,Cash,425.0
245,245,2024-11-28 06:08:26,Card,10.0
246,246,2024-12-06 00:09:44,Cash,35.0
247,247,2024-01-19 04:07:21,Cash,10.0
248,248,2024-12-23 01:48:13,Cash,35.0
249,249,2024-05-06 20:15:41,Transfer,175.0
250,250,2024-04-06 18:44:46,Card,160.0
251,251,2024-06-05 21:55:34,Transfer,340.0
252,252,2024-05-02 04:03:49,Transfer,225.0
253,253,2024-08-07 11:33:51,Cash,140.0
254,254,2024-04-13 00:50:37,Transfer,300.0
255,255,2024-06-15 16:52:03,Cash,150.0
256,256,2024-01-20 10:37:35,Cash,350.0
257,257,2024-01-17 14:33:49,Card,50.0
258,258,2024-07-21 11:37:28,Card,400.0
259,259,2024-06-04 12:55:46,Card,90.0
260,260,2024-03-18 10:20:11,Transfer,280.0
261,261,2024-12-11 19:03:27,Card,150.0
262,262,2023-12-31 22:45:44,Cash,425.0
263,263,2024-06-06 07:35:46,Transfer,20.0
264,264,2024-07-27 09:05:45,Transfer,240.0
265,265,2024-12-05 20:00:16,Card,350.0
266,266,2024-01-01 23:13:20,Card,160.0
267,267,2024-07-31 13:28:58,Card,350.0
268,268,2024-12-02 11:08:20,Transfer,140.0
269,269,2024-04-09 13:39:58,Cash,35.0
270,270,2024-06-20 02:55:10,Transfer,70.0
271,271,2024-05-23 06:59:22,Card,210.0
272,272,2024-08-19 01:50:25,Cash,105.0
273,273,2024-09-30 14:46:06,Cash,160.0
274,274,2024-09-22 13:39:45,Card,210.0
275,275,2024-05-21 05:24:50,Card,140.0
276,276,2024-05-25 23:12:23,Cash,70.0
277,277,2024-10-18 05:30:11,Cash,160.0
278,278,2024-09-23 08:15:54,Card,70.0
279,279,2024-11-04 06:59:19,Card,175.0
280,280,2024-01-24 19:12:08,Cash,180.0
281,281,2024-08-04 17:40:43,Transfer,80.0
282,282,2024-08-22 16:17:03,Card,60.0
283,283,2024-07-01 02:44:20,Transfer,40.0
284,284,2024-10-24 11:29:16,Cash,50.0
285,285,2024-11-19 20:43:51,Card,255.0
286,286,2024-02-27 20:41:21,Card,100.0
287,287,2023-12-24 23:24:10,Transfer,105.0
288,288,2024-08-27 13:39:13,Cash,40.0
289,289,2024-08-24 08:21:29,Card,340.0
290,290,2024-04-25 18:20:26,Card,400.0
291,291,2024-08-05 15:22:59,Cash,350.0
292,292,2024-09-11 12:49:56,Card,400.0
293,293,2024-10-09 12:54:18,Transfer,70.0
294,294,2024-03-24 00:41:44,Card,150.0
295,295,2024-12-19 05:36:00,Transfer,180.0
296,296,2024-06-03 14:06:43,Transfer,140.0
297,297,2024-07-13 07:24:17,Card,400.0
298,298,2024-11-15 10:46:40,Cash,80.0
299,299,2024-08-05 14:22:44,Cash,180.0
300,300,2024-12-06 13:24:03,Transfer,240.0
301,301,2024-12-16 23:30:22,Card,30.0
302,302,2024-01-09 07:43:06,Cash,20.0
303,303,2024-06-24 03:06:13,Transfer,325.0
304,304,2024-02-02 02:12:57,Card,30.0
305,305,2024-02-26 17:17:17,Cash,90.0
306,306,2024-03-25 01:44:23,Cash,80.0
307,307,2024-02-19 16:14:02,Cash,280.0
308,308,2024-04-10 02:01:13,Card,400.0
309,309,2024-08-10 01:41:40,Cash,350.0
310,310,2024-12-09 07:28:46,Cash,280.0
311,311,2024-11-23 21:40:03,Transfer,300.0
312,312,2024-12-11 12:34:56,Card,250.0
313,313,2024-12-14 08:42:12,Card,105.0
314,314,2024-08-27 22:08:51,Card,140.0
315,315,2024-11-27 02:25:34,Card,160.0
316,316,2024-11-29 22:41:45,Card,140.0
317,317,2024-03-23 11:06:06,Cash,140.0
318,318,2024-06-25 12:42:54,Card,350.0
319,319,2024-05-19 06:26:56,Transfer,320.0
320,320,2024-04-21 00:22:58,Card,280.0
321,321,2024-06-30 15:21:19,Card,60.0
322,322,2024-01-21 14:43:16,Cash,350.0
323,323,2024-06-01 19:21:46,Transfer,70.0
324,324,2024-07-01 21:04:08,Card,175.0
325,325,2024-05-07 19:27:26,Cash,70.0
326,326,2024-11-06 02:45:47,Card,350.0
327,327,2024-07-10 13:55:57,Card,140.0
328,328,2024-01-12 22:00:04,Transfer,140.0
329,329,2024-02-29 06:26:00,Card,20.0
330,330,2024-01-12 15:49:01,Card,140.0
331,331,2024-05-04 15:45:19,Cash,70.0
332,332,2024-07-01 00:44:09,Transfer,280.0
333,333,2024-01-23 02:18:16,Card,255.0
334,334,2024-01-25 19:16:13,Transfer,30.0
335,335,2024-10-13 11:56:08,Transfer,180.0
336,336,2024-09-06 03:26:50,Card,80.0
337,337,2024-11-15 02:02:54,Cash,65.0
338,338,2024-11-04 08:08:23,Transfer,425.0
339,339,2024-04-14 14:54:17,Transfer,30.0
340,340,2024-04-23 21:42:36,Transfer,60.0
341,341,2024-10-20 13:37:50,Transfer,195.0
342,342,2024-05-10 05:15:14,Card,225.0
343,343,2024-07-02 01:30:04,Transfer,105.0
344,344,2024-05-08 12:46:20,Cash,80.0
345,345,2024-08-31 13:09:49,Cash,70.0
346,346,2024-11-21 18:11:13,Cash,90.0
347,347,2024-01-21 13:41:41,Transfer,300.0
348,348,2024-10-21 15:55:38,Card,175.0
349,349,2024-09-23 17:12:14,Cash,350.0
350,350,2024-04-01 10:13:45,Transfer,400.0
351,351,2024-07-29 11:08:43,Cash,160.0
352,352,2024-12-01 00:50:19,Transfer,60.0
353,353,2024-09-16 17:34:06,Transfer,20.0
354,354,2024-09-21 03:07:51,Card,140.0
355,355,2024-01-09 07:06:26,Card,350.0
356,356,2024-02-12 03:41:31,Cash,375.0
357,357,2024-12-04 15:49:57,Cash,250.0
358,358,2024-07-17 22:39:58,Transfer,240.0
359,359,2024-02-09 20:35:38,Card,300.0
360,360,2024-04-25 14:18:45,Cash,320.0
361,361,2024-06-13 03:53:13,Transfer,400.0
362,362,2023-12-24 12:47:20,Transfer,170.0
363,363,2024-12-13 12:44:33,Transfer,260.0
364,364,2024-08-08 11:43:05,Transfer,135.0
365,365,2024-07-11 08:44:45,Card,280.0
366,366,2024-07-15 20:36:13,Transfer,350.0
367,367,2024-10-25 11:51:29,Transfer,105.0
368,368,2024-06-17 06:13:18,Card,175.0
369,369,2024-06-18 03:47:29,Cash,50.0
370,370,2024-11-15 12:01:33,Card,300.0
371,371,2024-01-29 20:28:38,Card,50.0
372,372,2024-11-04 11:18:06,Card,30.0
373,373,2024-05-24 16:57:18,Cash,140.0
374,374,2024-11-07 03:58:20,Cash,120.0
375,375,2024-05-17 17:04:19,Transfer,425.0
376,376,2024-08-04 17:58:20,Cash,300.0
377,377,2024-06-12 15:36:51,Card,280.0
378,378,2024-12-08 17:41:24,Cash,140.0
379,379,2024-01-05 17:36:51,Cash,130.0
380,380,2024-02-27 08:18:27,Transfer,175.0
381,381,2024-08-11 06:57:46,Cash,130.0
382,382,2024-08-05 19:28:27,Transfer,70.0
383,383,2023-12-25 12:09:38,Card,175.0
384,384,2024-02-23 01:43:09,Cash,280.0
385,385,2024-03-09 13:31:33,Cash,60.0
386,386,2024-11-16 17:53:57,Transfer,160.0
387,387,2024-09-07 00:56:40,Card,350.0
388,388,2024-02-06 00:46:41,Cash,320.0
389,389,2024-09-01 06:37:50,Cash,200.0
390,390,2024-01-28 16:30:45,Transfer,120.0
391,391,2024-04-24 07:05:46,Transfer,210.0
392,392,2024-10-15 10:59:26,Transfer,160.0
393,393,2024-02-28 14:36:56,Card,425.0
394,394,2024-01-17 05:11:21,Transfer,70.0
395,395,2024-10-19 10:47:36,Transfer,150.0
396,396,2024-03-05 07:54:37,Transfer,105.0
397,397,2024-01-16 19:05:15,Card,105.0
398,398,2024-07-06 02:25:26,Transfer,10.0
399,399,2024-09-26 04:12:23,Cash,140.0
400,400,2024-03-06 11:19:35,Transfer,40.0
401,401,2024-08-28 15:36:44,Card,40.0
402,402,2023-12-27 08:43:41,Cash,160.0
403,403,2024-05-21 08:08:21,Card,50.0
404,404,2024-06-04 19:15:18,Cash,140.0
405,405,2024-05-30 14:51:56,Transfer,350.0
406,406,2024-03-07 00:41:43,Cash,210.0
407,407,2024-11-04 10:46:26,Cash,170.0
408,408,2024-06-28 13:00:06,Card,375.0
409,409,2024-03-07 02:06:14,Cash,70.0
410,410,2024-06-19 10:56:04,Card,80.0
411,411,2024-06-26 04:24:11,Card,280.0
412,412,2024-02-19 17:03:25,Transfer,400.0
413,413,2024-03-24 15:20:26,Transfer,140.0
414,414,2024-07-23 02:57:24,Cash,280.0
415,415,2024-07-26 13:31:37,Transfer,70.0
416,416,2024-02-28 19:02:33,Card,280.0
417,417,2024-12-16 23:12:37,Card,105.0
418,418,2024-03-21 12:10:32,Transfer,120.0
419,419,2024-08-01 09:06:51,Card,90.0
420,420,2024-11-17 17:33:11,Transfer,150.0
421,421,2024-07-14 15:38:02,Transfer,140.0
422,422,2024-12-03 07:55:52,Cash,175.0
423,423,2024-06-18 02:30:04,Transfer,75.0
424,424,2024-04-26 06:39:42,Card,70.0
425,425,2024-04-12 01:56:37,Transfer,100.0
426,426,2024-04-27 04:59:30,Transfer,70.0
427,427,2024-08-30 13:18:50,Card,85.0
428,428,2024-02-19 14:28:51,Transfer,300.0
429,429,2024-11-22 04:37:26,Card,140.0
430,430,2024-06-19 11:57:19,Cash,210.0
431,431,2024-05-16 09:38:29,Card,210.0
432,432,2024-03-17 03:23:03,Transfer,60.0
433,433,2024-08-01 20:46:56,Transfer,70.0
434,434,2024-04-21 11:36:12,Card,240.0
435,435,2024-10-01 09:12:15,Card,325.0
436,436,2024-11-06 02:19:50,Cash,35.0
437,437,2024-04-29 13:58:18,Cash,70.0
438,438,2024-06-27 05:19:04,Transfer,60.0
439,439,2024-02-11 13:44:07,Card,135.0
440,440,2024-01-24 23:26:59,Transfer,260.0
441,441,2024-11-02 09:08:10,Transfer,105.0
442,442,2024-05-16 20:53:17,Card,300.0
443,443,2024-07-31 20:31:19,Card,325.0
444,444,2024-07-08 16:01:23,Cash,70.0
445,445,2024-11-08 18:55:44,Card,225.0
446,446,2024-01-02 17:58:35,Cash,195.0
447,447,2024-01-19 22:49:54,Card,240.0
448,448,2023-12-29 20:41:39,Card,240.0
449,449,2024-05-03 00:05:39,Cash,210.0
450,450,2024-10-24 20:37:27,Card,400.0
451,451,2024-12-08 08:34:37,Cash,210.0
452,452,2024-05-28 11:03:26,Cash,30.0
453,453,2024-10-02 12:27:58,Cash,90.0
454,454,2024-10-13 00:21:57,Cash,140.0
455,455,2024-04-07 09:57:14,Card,300.0
456,456,2024-02-01 00:26:00,Card,400.0
457,457,2024-08-06 13:14:43,Card,160.0
458,458,2024-08-24 05:42:47,Card,280.0
459,459,2024-01-08 00:45:30,Transfer,150.0
460,460,2024-01-29 00:25:49,Transfer,200.0
461,461,2024-10-10 15:30:05,Cash,35.0
462,462,2024-09-16 16:13:18,Transfer,30.0
463,463,2024-03-02 18:03:44,Transfer,320.0
464,464,2024-09-15 20:15:23,Cash,160.0
465,465,2024-08-07 00:50:49,Cash,70.0
466,466,2024-02-02 03:29:39,Cash,375.0
467,467,2024-05-06 10:00:50,Transfer,170.0
468,468,2024-02-02 04:01:24,Card,85.0
469,469,2024-10-30 05:08:10,Card,70.0
470,470,2024-03-17 18:10:40,Card,175.0
471,471,2024-04-08 14:28:55,Card,320.0
472,472,2024-06-30 20:41:44,Cash,200.0
473,473,2024-02-07 11:20:59,Transfer,210.0
474,474,2024-11-22 00:38:26,Card,50.0
475,475,2024-09-25 21:44:26,Transfer,90.0
476,476,2024-04-13 11:43:59,Transfer,80.0
477,477,2024-08-13 20:36:15,Transfer,250.0
478,478,2024-04-10 03:47:13,Cash,375.0
479,479,2024-09-30 22:14:47,Card,340.0
480,480,2024-06-24 04:36:30,Transfer,210.0
481,481,2024-10-27 11:18:52,Transfer,80.0
482,482,2024-05-03 05:02:57,Card,160.0
483,483,2024-08-15 10:19:03,Transfer,210.0
484,484,2024-10-10 09:51:46,Transfer,140.0
485,485,2024-08-09 23:24:26,Card,425.0
486,486,2024-03-13 18:19:56,Cash,140.0
487,487,2024-07-17 13:47:53,Transfer,280.0
488,488,2024-02-08 05:10:59,Transfer,320.0
489,489,2024-06-11 13:26:53,Cash,340.0
490,490,2024-05-27 18:17:42,Cash,180.0
491,491,2024-07-14 21:10:17,Card,200.0
492,492,2024-02-14 21:32:06,Card,210.0
493,493,2024-02-27 14:28:19,Transfer,70.0
494,494,2024-09-03 14:26:32,Transfer,70.0
495,495,2024-10-24 20:57:22,Cash,30.0
496,496,2024-04-30 23:06:56,Transfer,80.0
497,497,2023-12-29 14:36:21,Card,50.0
498,498,2024-04-09 18:39:24,Card,500.0
499,499,2024-07-23 11:54:08,Transfer,210.0
500,500,2024-05-19 04:51:38,Transfer,35.0
501,501,2024-12-20 17:56:06,Cash,100.0
502,502,2024-02-14 22:48:29,Card,225.0
503,503,2024-10-10 23:56:44,Transfer,280.0
504,504,2024-07-26 01:51:46,Card,70.0
505,505,2024-07-12 11:15:37,Card,60.0
506,506,2024-10-29 10:24:39,Cash,80.0
507,507,2024-11-17 00:53:11,Card,180.0
508,508,2024-02-23 22:09:53,Card,210.0
509,509,2024-08-06 10:14:28,Cash,200.0
510,510,2024-10-19 06:00:21,Card,195.0
511,511,2024-04-07 13:51:31,Cash,140.0
512,512,2024-03-12 07:43:30,Card,120.0
513,513,2024-09-07 01:03:58,Card,240.0
514,514,2024-12-07 00:45:49,Cash,30.0
515,515,2024-09-13 19:18:55,Transfer,10.0
516,516,2024-11-22 15:26:42,Card,210.0
517,517,2024-11-13 01:47:33,Transfer,140.0
518,518,2024-01-06 15:28:57,Transfer,40.0
519,519,2024-08-25 04:04:02,Card,70.0
520,520,2024-06-15 18:59:08,Cash,170.0
521,521,2024-02-18 05:15:49,Card,260.0
522,522,2024-06-27 05:30:03,Cash,400.0
523,523,2024-10-11 03:34:57,Card,180.0
524,524,2023-12-26 13:03:26,Card,160.0
525,525,2024-09-28 11:34:48,Cash,40.0
526,526,2024-08-13 12:52:30,Card,40.0
527,527,2024-10-18 14:04:46,Cash,210.0
528,528,2024-11-16 19:56:55,Cash,35.0
529,529,2024-03-20 08:20:07,Cash,240.0
530,530,2024-07-02 13:26:58,Cash,400.0
531,531,2024-09-22 10:38:23,Transfer,150.0
532,532,2024-01-09 21:28:47,Transfer,250.0
533,533,2024-12-15 00:35:46,Card,135.0
534,534,2024-11-28 06:51:34,Cash,255.0
535,535,2024-04-14 09:56:11,Transfer,60.0
536,536,2024-06-19 09:58:15,Cash,150.0
537,537,2024-03-19 19:55:35,Card,425.0
538,538,2024-10-03 08:19:30,Transfer,70.0
539,539,2024-05-17 15:38:26,Cash,425.0
540,540,2024-09-21 07:53:37,Card,120.0
541,541,2024-07-11 01:59:54,Card,135.0
542,542,2024-04-20 05:09:52,Cash,210.0
543,543,2024-11-03 08:16:03,Card,200.0
544,544,2024-10-05 14:40:54,Transfer,30.0
545,545,2024-01-09 06:31:14,Cash,225.0
546,546,2024-09-06 08:15:51,Transfer,30.0
547,547,2024-05-07 07:25:24,Transfer,50.0
548,548,2024-01-17 22:46:04,Cash,80.0
549,549,2024-11-09 06:36:37,Transfer,100.0
550,550,2024-12-11 08:52:47,Card,70.0
551,551,2024-07-05 01:27:50,Cash,240.0
552,552,2024-01-01 20:04:11,Card,200.0
553,553,2024-06-13 05:01:51,Card,175.0
554,554,2023-12-29 21:47:05,Cash,280.0
555,555,2024-11-14 15:24:20,Card,210.0
556,556,2024-04-01 11:23:23,Cash,50.0
557,557,2024-06-23 14:16:26,Card,225.0
558,558,2024-08-08 11:41:37,Card,210.0
